;SUI_A001;SUI_A002;SUI_A003;SUI_A006;SUI_A007;SUI_A008;SUI_A011;SUI_A012;SUI_A013;SUI_A016;SUI_A017;SUI_A018;SUI_A021;SUI_A022;SUI_A023;SUI_A026;SUI_A027;SUI_A028;SUI_A031;SUI_A032;SUI_A033;SUI_A036;SUI_A037;SUI_A038;SUI_A041;SUI_A042;SUI_A043;SUI_A046;SUI_A047;SUI_A048;SUI_A051;SUI_A052;SUI_A053;SUI_A056;SUI_A057;SUI_A058;SUI_A061;SUI_A062;SUI_A063;SUI_A066;SUI_A067;SUI_A068;SUI_A071;SUI_A072;SUI_A073;SUI_A076;SUI_A077;SUI_A078;SUI_A081;SUI_A082;SUI_A083;SUI_A086;SUI_A087;SUI_A088;SUI_A091;SUI_A092;SUI_A093;SUI_A096;SUI_A097;SUI_A098;SUI_A106;SUI_A107;SUI_A108;SUI_A111;SUI_A112;SUI_A113;SUI_A116;SUI_A117;SUI_A118;SUI_A121;SUI_A122;SUI_A123;SUI_A131;SUI_A132;SUI_A133;SUI_A146;SUI_A147;SUI_A148;SUI_EB1;SUI_EB2;SUI_NC
ASV_247;0;0;3;1;1;1;0;1;0;0;1;2;1;0;1;2;20;5;3;1;3;4;8;3;2;5;2;11;2;2;7;4;15;4;4;3;10;7;5;7;26;16;17;1;7;1;3;6;15;3;22;0;3;0;14;14;20;16;4;6;8;13;38;35;29;29;0;2;1;10;37;15;5;3;1;9;5;12;0;0;0
ASV_248;0;1;0;0;0;0;0;0;0;0;1;6;3;3;1;1;12;9;0;0;4;1;1;0;5;0;0;2;1;4;2;3;14;0;0;3;0;1;0;6;13;11;14;1;4;35;68;29;12;4;9;0;0;0;8;13;8;9;0;13;14;34;2;0;0;0;0;0;0;9;22;10;46;17;30;22;17;25;0;0;0
ASV_249;3;11;18;0;0;1;0;1;0;0;2;4;0;0;4;6;27;25;1;0;3;1;1;0;11;18;1;6;5;6;3;4;4;2;0;2;0;1;0;3;4;16;7;2;3;3;2;6;2;4;4;8;17;3;28;46;16;10;1;3;7;12;3;51;59;38;4;1;0;5;11;3;3;3;1;6;6;9;0;0;0
ASV_250;1;4;1;0;0;0;0;3;0;0;0;0;2;0;0;0;2;3;0;0;0;0;1;0;0;0;0;1;0;1;8;3;1;1;0;0;0;0;0;4;3;14;7;4;1;20;154;26;3;4;0;0;1;0;2;32;5;8;10;14;11;41;9;0;0;1;4;8;5;13;13;15;17;13;11;21;28;27;0;0;0
ASV_251;0;14;64;1;1;1;7;15;4;3;0;3;11;0;0;9;0;3;0;7;6;1;2;0;4;39;2;1;6;0;1;1;0;19;9;3;0;1;1;20;34;10;2;1;1;0;1;1;4;7;2;37;78;15;8;10;9;1;0;0;1;0;2;21;11;45;1;1;6;1;1;0;2;4;3;1;0;0;0;0;0
ASV_252;0;0;0;0;0;1;0;0;0;0;1;3;0;1;0;4;77;10;1;1;2;1;0;1;5;1;3;16;2;7;2;0;4;2;0;3;2;1;0;8;6;10;16;13;1;7;8;24;75;28;16;0;0;3;32;17;31;25;5;20;12;4;2;1;21;7;0;2;3;7;3;16;2;1;0;1;0;2;0;0;0
ASV_253;0;0;3;0;0;0;0;0;0;0;2;3;3;3;1;0;0;0;0;0;0;0;0;0;1;0;0;7;1;0;0;1;1;1;0;0;0;0;0;0;0;0;2;2;3;6;8;11;1;0;1;0;0;0;5;2;3;5;1;2;43;48;31;0;0;3;1;0;1;14;7;9;137;85;73;8;24;16;0;0;0
ASV_254;0;0;1;0;0;3;0;0;0;0;1;6;1;0;0;1;10;0;2;2;3;9;10;3;1;5;5;46;47;12;0;0;3;3;2;2;5;4;4;15;67;21;31;5;15;1;0;1;11;4;33;0;2;3;6;12;85;8;2;3;1;3;7;17;10;4;0;1;0;4;6;3;0;0;0;0;4;1;0;0;0
ASV_255;0;1;6;0;0;0;1;0;0;1;2;0;0;0;0;5;14;9;1;2;1;0;1;0;3;3;0;2;1;3;5;2;3;1;0;4;0;0;0;10;9;11;5;2;1;79;37;104;21;3;3;0;2;0;12;64;14;14;12;12;3;8;1;0;0;0;3;7;1;18;9;7;3;4;9;4;5;4;0;0;0
ASV_256;34;24;10;0;0;5;2;0;0;14;45;47;126;13;48;4;6;2;2;5;1;0;1;0;3;7;9;17;45;17;5;4;12;0;1;5;0;0;0;0;1;1;4;6;1;0;0;0;3;1;2;1;1;1;1;4;11;3;1;4;1;0;0;6;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
ASV_257;0;4;3;0;0;0;0;3;0;0;2;6;0;0;2;16;41;25;1;0;1;4;8;6;13;1;3;5;4;0;17;5;2;4;1;3;2;4;4;3;8;16;54;13;9;6;9;14;16;9;25;6;23;9;24;17;24;10;6;17;3;5;3;2;7;9;1;1;7;1;4;4;4;1;1;2;4;3;0;0;0
ASV_258;0;0;0;0;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;1;0;0;0;1;542;0;1;0;1;0;0;0;0;0;0;0;0
ASV_259;1;1;0;0;0;2;0;0;0;2;1;4;2;7;2;3;36;3;2;0;1;0;1;1;2;5;1;0;10;1;3;5;0;1;1;4;2;0;1;1;1;6;3;2;3;1;1;3;12;9;17;1;2;0;9;27;15;4;0;2;11;8;9;124;86;82;0;0;1;0;9;3;3;1;0;3;3;2;0;0;0
ASV_260;2;2;0;0;2;0;125;251;100;0;1;0;1;0;0;0;0;0;2;1;0;1;3;4;0;0;0;0;0;0;0;0;0;2;2;3;0;1;1;0;1;0;0;0;0;1;1;0;0;1;0;20;27;6;0;1;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_261;3;8;18;1;0;0;0;0;2;0;1;1;0;9;4;3;4;51;0;2;0;3;1;1;0;1;0;5;3;3;0;1;8;0;0;0;1;0;1;16;36;7;5;10;1;1;8;4;10;7;0;3;47;19;4;8;4;10;2;1;15;9;5;0;0;0;7;3;2;1;4;0;63;52;37;9;10;10;0;0;0
ASV_262;0;0;15;0;0;1;0;1;0;1;0;0;0;0;1;0;0;2;0;1;1;30;73;55;1;0;9;0;0;9;1;1;0;4;11;25;32;82;27;69;1;0;28;16;16;1;0;0;18;5;4;0;0;0;0;0;0;0;0;1;12;1;0;0;1;6;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0
ASV_263;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;170;153;74;1;0;1;0;2;0;1;7;7;59;30;19;3;16;5;0;0;0
ASV_264;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4;2;0;4;0;1;0;0;4;1;1;3;1;0;5;15;36;5;2;0;16;22;45;63;4;0;3;24;7;1;5;2;0;0;0;6;28;14;135;5;0;0;1;0;54;0;0;4;1;3;0;1;1;1;14;0;12;0;0;0
ASV_265;11;5;5;1;3;12;0;0;1;12;32;25;36;39;76;6;0;0;7;4;13;0;1;0;13;14;6;9;32;20;1;3;8;1;0;3;0;0;0;0;8;3;10;6;3;0;1;1;11;2;10;2;11;5;3;0;3;1;1;0;11;7;7;3;2;2;2;0;1;5;7;2;4;7;6;6;4;4;0;0;0
ASV_266;0;0;1;0;0;0;0;0;0;3;1;2;0;0;0;0;0;6;0;0;0;0;0;0;1;3;0;2;0;1;8;3;25;0;0;2;0;0;0;77;12;3;62;19;0;1;2;5;27;6;39;0;1;0;28;9;50;21;2;5;11;11;14;0;0;2;0;1;0;12;7;4;10;11;7;5;19;16;0;0;0
ASV_267;2;8;1;1;0;1;8;1;1;2;0;6;3;0;10;4;14;11;0;1;0;19;10;42;14;19;0;8;6;7;11;4;2;4;0;1;28;34;11;1;0;11;2;1;1;0;1;0;2;2;3;3;16;0;8;2;4;2;1;0;1;4;5;63;66;46;3;8;2;0;2;1;0;0;1;0;1;0;0;0;0
ASV_268;0;1;0;0;0;1;0;1;0;0;0;2;0;1;1;0;0;2;0;0;0;1;1;0;0;1;0;2;0;3;1;1;0;2;2;10;1;1;3;2;1;19;28;27;20;2;1;3;33;13;18;0;3;2;5;11;9;12;26;30;15;7;12;7;9;85;8;2;3;34;14;19;4;4;6;5;3;15;0;0;0
ASV_269;3;62;58;3;0;3;6;13;3;0;0;3;2;4;0;2;1;52;8;5;11;7;29;18;5;32;1;0;0;0;4;1;3;6;4;9;8;14;18;0;6;0;5;6;2;2;0;3;3;2;3;1;9;17;3;1;0;0;1;0;11;3;15;22;13;21;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0
ASV_270;18;44;2;1;3;5;22;4;2;5;3;4;12;10;6;8;6;6;4;9;30;2;3;10;2;4;1;32;20;17;3;2;1;3;3;16;6;4;1;6;2;2;11;3;2;12;21;34;1;0;0;25;20;19;1;5;2;4;5;2;2;6;8;1;0;0;0;1;5;1;0;3;5;3;2;1;0;2;0;0;0
ASV_271;0;7;2;1;0;4;5;1;1;2;4;3;16;3;3;1;2;2;2;1;3;1;0;3;4;11;4;15;2;21;9;5;4;3;1;0;0;3;4;11;7;22;32;38;32;2;6;2;15;8;8;0;0;2;2;20;4;11;12;16;8;14;11;1;0;0;3;2;5;6;8;14;3;3;5;11;14;33;0;0;0
ASV_272;1;2;0;0;0;0;0;0;0;1;0;3;4;0;2;0;3;1;0;1;1;0;0;1;0;0;0;1;3;1;1;0;2;0;0;0;0;2;0;3;1;5;4;2;1;31;64;56;9;2;2;0;0;2;2;3;0;1;5;10;8;28;7;3;20;12;4;0;0;35;30;32;19;12;12;29;24;33;0;0;0
ASV_273;0;3;0;0;0;0;0;0;0;1;5;1;1;1;0;0;1;1;0;0;0;2;0;0;0;1;1;2;1;1;0;0;0;1;1;3;0;0;1;0;2;5;17;2;7;3;3;2;10;0;6;1;1;3;12;83;9;8;11;18;5;15;12;101;26;67;2;3;3;12;32;1;2;4;0;5;5;7;0;0;0
ASV_274;12;7;12;1;0;2;3;3;0;2;1;3;1;3;1;3;3;8;1;2;0;5;8;9;3;15;1;21;6;12;44;4;10;3;2;1;15;19;17;29;19;11;32;8;10;1;1;0;2;2;7;1;11;41;9;13;12;3;5;5;5;2;4;3;5;2;0;1;0;0;3;1;4;6;2;2;4;0;0;0;0
ASV_275;0;0;1;0;0;0;0;0;0;1;1;3;0;0;0;0;0;4;0;0;1;0;0;0;0;3;1;6;3;0;6;4;23;2;0;0;0;0;0;67;18;6;54;16;0;1;3;4;41;9;31;0;1;0;21;11;41;24;0;6;13;5;11;1;0;1;0;0;0;3;12;5;11;9;3;4;20;13;0;0;0
ASV_276;0;0;2;1;0;1;0;6;0;2;0;6;0;1;0;0;0;1;2;2;20;1;5;0;0;3;6;0;8;0;0;0;1;5;2;23;0;1;1;3;6;2;13;0;1;5;7;10;36;19;3;16;20;0;10;13;10;5;6;5;2;4;12;3;10;4;13;61;11;16;19;42;4;2;3;12;2;14;0;0;0
ASV_277;0;38;14;0;2;1;0;0;0;2;0;5;5;4;13;2;46;15;0;1;0;0;3;1;6;0;0;12;2;5;9;3;5;2;1;2;1;0;0;1;0;6;14;5;5;0;2;0;1;2;7;2;2;0;7;27;13;8;7;3;6;7;10;40;42;51;18;12;6;2;6;3;1;4;0;0;3;1;0;0;0
ASV_278;1;4;7;0;0;0;1;1;0;0;1;2;2;4;3;10;23;20;0;0;1;0;1;3;9;14;0;2;0;0;10;7;13;0;0;4;1;1;1;16;5;17;35;5;5;7;10;7;7;5;4;1;5;6;13;26;56;14;7;10;6;5;2;11;6;14;5;4;3;7;10;7;8;4;10;5;5;4;0;0;0
ASV_279;4;1;11;1;0;0;1;0;0;1;0;1;26;3;0;19;108;18;2;3;5;6;31;3;1;0;0;1;0;6;91;8;12;2;3;2;2;4;7;1;2;13;3;0;0;22;12;20;0;1;3;0;4;0;5;21;2;4;0;5;2;2;0;3;2;6;0;0;1;0;2;0;0;0;2;0;1;1;0;0;0
ASV_280;20;6;0;1;4;5;29;10;5;12;13;26;15;29;20;5;1;12;11;14;9;2;1;3;13;7;5;1;6;17;3;3;0;3;2;14;0;0;1;2;2;0;5;1;2;0;1;1;1;2;0;68;27;4;2;2;1;1;1;1;4;2;3;0;0;0;8;12;22;1;2;0;1;2;1;3;3;2;0;0;0
ASV_281;2;0;1;0;0;1;0;0;1;0;0;0;9;0;2;5;15;1;1;1;2;8;14;7;2;6;5;4;0;0;3;1;3;4;5;24;10;9;2;4;2;56;36;20;14;4;3;9;15;6;16;2;4;1;28;25;8;17;22;25;2;7;2;4;0;0;6;9;5;6;2;3;0;1;0;2;1;3;0;0;0
ASV_282;3;18;9;1;1;8;0;5;1;1;1;10;17;18;2;1;6;21;17;14;10;0;3;7;8;122;10;1;4;3;25;0;24;8;4;46;1;2;1;1;5;6;10;3;0;1;0;3;7;2;1;0;1;1;0;3;0;3;0;0;3;0;27;1;1;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0
ASV_283;2;21;14;10;4;18;3;27;1;5;3;4;2;0;1;10;4;9;6;7;7;7;3;7;6;16;1;20;16;2;3;1;6;1;1;5;9;18;10;3;8;5;11;4;2;2;1;0;5;9;8;3;17;13;2;2;2;3;1;1;8;9;7;21;16;11;0;0;0;2;6;2;10;4;8;4;7;7;0;0;0
ASV_284;0;8;1;0;0;0;1;0;0;0;1;3;1;0;0;0;3;2;0;0;1;7;7;5;0;1;0;21;2;6;23;14;29;1;0;4;22;30;21;0;11;117;8;4;29;1;2;7;5;2;2;1;1;0;20;18;13;4;4;3;2;5;4;0;0;0;2;0;0;5;7;1;0;0;0;1;5;6;0;0;0
ASV_285;1;4;10;0;0;0;2;0;0;0;0;0;0;2;1;3;20;1;1;0;1;0;7;0;0;4;1;5;2;8;6;22;5;0;0;2;5;5;2;8;4;14;10;9;3;30;26;32;3;1;2;0;0;1;18;12;12;8;5;7;4;23;13;4;3;4;1;0;0;3;8;3;30;33;30;7;5;7;0;0;0
ASV_286;0;2;0;1;2;3;0;0;0;0;2;4;3;0;0;4;5;2;1;1;3;1;0;1;3;7;2;16;11;0;1;1;3;0;1;0;6;6;8;7;30;19;10;3;2;6;2;5;7;2;9;0;0;0;29;31;31;1;2;2;7;7;9;35;45;18;0;0;0;7;31;13;2;3;2;5;9;4;0;0;0
ASV_287;0;3;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;4;0;0;0;7;4;4;0;1;2;0;0;0;2;1;8;0;0;0;8;22;4;1;1;8;2;3;0;65;42;55;2;0;1;0;1;0;6;8;2;9;15;34;12;20;6;2;0;3;13;8;4;14;13;8;7;2;11;15;12;16;0;0;0
ASV_288;5;6;195;0;0;0;2;1;0;1;0;13;0;6;0;0;4;1;1;0;3;6;41;22;8;3;4;1;0;2;1;1;6;0;0;3;0;5;1;3;2;0;40;1;3;0;2;2;8;7;1;4;0;5;14;5;2;9;3;4;10;10;1;0;0;0;1;1;0;2;1;1;2;1;3;1;0;2;0;0;0
ASV_289;7;26;0;0;0;2;2;2;1;3;0;6;0;4;24;3;0;2;14;8;25;0;3;6;3;13;27;15;31;29;2;0;0;3;2;4;0;2;2;6;0;1;15;5;3;0;1;0;10;3;13;36;32;7;2;3;1;2;1;0;1;5;2;10;1;4;5;2;11;4;11;2;0;1;2;6;10;3;0;0;0
ASV_290;0;2;2;0;0;0;0;0;0;0;0;1;1;3;2;1;3;4;2;0;1;0;1;0;1;0;0;2;1;1;6;8;6;1;0;1;1;2;0;0;3;33;5;3;4;21;13;37;5;6;1;0;0;0;15;20;6;4;8;16;15;13;18;1;0;2;4;1;6;9;55;5;28;27;22;9;9;12;0;0;0
ASV_291;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;367;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;35;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
ASV_292;0;1;0;0;0;2;7;6;2;1;0;2;2;0;0;3;3;3;0;0;2;13;53;15;0;0;0;4;0;2;2;0;1;1;0;1;7;16;10;12;3;1;12;1;0;0;3;2;5;3;3;2;13;19;1;4;7;3;2;1;12;19;3;14;26;39;0;4;2;1;3;1;48;20;24;0;8;2;0;0;0
ASV_293;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;60;0;166;1;1;0;0;0;0;1;0;0;79;1;35;0;4;0;24;0;0;0;0;0;7;0;0;39;9;5;3;18;12;10;0;0;0;0
ASV_294;0;0;0;1;0;2;0;0;0;0;0;1;2;0;2;0;1;1;0;0;0;0;0;0;0;4;4;4;2;0;2;1;1;0;0;1;0;0;0;1;2;1;4;43;2;0;0;0;63;8;11;0;0;0;1;0;2;4;1;6;22;32;5;1;1;1;0;0;0;28;23;27;73;25;42;2;13;7;0;0;0
ASV_295;4;0;0;1;2;0;11;3;1;0;0;3;5;0;3;3;11;5;1;0;3;49;17;47;0;2;1;5;4;7;6;2;11;0;2;1;18;26;8;4;16;13;8;9;4;14;7;3;4;1;0;0;1;1;18;9;13;8;1;6;3;2;8;5;1;7;4;0;0;0;25;9;4;3;0;4;3;0;0;0;0
ASV_296;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;5;6;2;1;2;1;9;8;6;11;19;3;29;8;4;0;2;2;2;2;13;13;10;10;9;16;5;16;2;3;0;0;0;22;8;16;4;10;11;3;12;9;4;2;1;13;11;6;17;33;38;1;0;1;3;11;2;2;7;3;2;3;1;0;0;0
ASV_297;3;10;10;3;9;0;8;5;0;1;6;8;10;5;7;1;4;9;8;10;7;5;8;5;7;5;8;10;7;3;10;2;5;3;4;8;4;10;4;0;8;4;8;5;0;1;9;7;1;10;7;9;8;10;10;1;9;8;4;6;10;6;9;10;6;8;4;9;3;10;3;8;4;4;5;9;8;5;0;0;0
ASV_298;1;6;24;0;0;5;1;0;3;1;4;5;227;21;66;4;0;8;0;3;0;0;0;2;0;9;2;2;8;7;4;2;6;0;0;0;0;0;0;0;0;4;5;4;1;4;0;1;5;1;2;0;5;0;1;6;6;4;0;1;0;0;1;0;0;0;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0
ASV_299;0;0;0;2;4;2;11;15;10;0;0;0;0;0;0;0;0;1;120;143;100;1;0;0;2;0;0;2;1;1;0;0;0;12;4;5;0;2;0;0;0;0;2;1;0;0;0;0;1;0;0;3;25;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_300;2;7;0;0;0;2;2;1;1;1;1;7;8;6;2;1;1;1;0;0;0;8;10;8;2;4;2;46;36;18;13;3;3;2;0;3;26;28;30;3;13;19;30;9;11;0;0;0;4;1;7;0;3;12;6;12;10;10;5;4;0;3;3;2;0;0;2;2;0;3;6;0;0;2;0;0;5;2;0;0;0
ASV_301;3;7;4;0;0;1;0;1;0;0;1;0;2;4;2;8;10;3;3;2;0;12;21;17;2;2;2;32;20;8;8;12;7;1;1;5;13;10;3;3;10;11;33;8;3;1;5;1;3;0;9;1;2;5;15;48;28;5;2;2;1;3;3;15;6;7;1;1;0;0;4;4;1;1;0;0;1;1;0;0;0
ASV_302;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;29;4;18;0;0;0;4;0;1;0;0;0;0;0;1;12;13;14;3;55;12;33;19;10;0;0;0;35;15;23;0;2;0;10;20;4;35;12;19;0;0;0;2;2;1;0;1;0;8;19;6;0;0;0;2;14;4;0;0;0
ASV_303;1;3;6;0;0;1;0;0;0;0;0;0;0;1;0;11;145;21;0;0;4;3;3;4;0;0;1;14;8;1;4;5;14;4;2;1;0;1;0;1;0;17;6;2;4;13;36;47;2;1;0;0;2;1;10;6;4;5;4;2;3;9;4;4;5;5;0;1;1;1;3;1;0;1;1;0;1;0;0;0;0
ASV_304;0;0;1;0;0;2;0;0;0;1;0;3;0;0;0;7;7;8;0;0;2;0;1;1;7;4;2;8;3;1;0;0;0;3;7;8;2;2;2;3;4;25;23;21;20;2;0;3;10;5;3;4;11;4;6;19;21;14;26;13;8;9;7;4;2;3;15;11;24;19;11;5;4;1;2;3;6;7;0;0;0
ASV_305;15;14;3;0;0;0;0;0;1;0;2;1;0;0;7;0;10;51;5;0;0;0;0;1;1;15;5;3;6;6;2;1;5;2;1;1;2;4;3;0;0;0;27;12;11;45;17;33;6;8;4;2;5;4;2;10;5;7;4;3;4;7;1;0;0;1;11;17;17;0;0;0;7;7;8;3;1;3;0;0;0
ASV_306;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;325;8;77;0;0;0;0;0;0;3;1;0;0;0;0;1;21;5;0;0;0
ASV_307;0;0;1;0;0;1;0;1;1;0;0;0;2;0;0;4;0;1;4;0;0;22;8;27;0;1;0;10;0;1;3;0;1;1;1;1;15;35;5;0;3;2;1;0;0;0;1;2;1;1;1;0;8;19;1;8;2;3;0;0;24;28;15;8;8;3;1;0;0;5;44;9;19;21;16;17;25;14;0;0;0
ASV_308;0;14;2;10;6;0;0;3;1;1;2;1;2;2;4;5;0;35;2;5;25;0;0;3;15;125;19;1;4;0;13;5;17;8;6;9;0;1;0;4;4;2;6;4;6;0;0;0;1;3;1;0;5;5;0;8;5;0;0;1;0;0;0;29;4;0;4;10;7;0;0;0;0;0;0;0;0;0;0;0;0
ASV_309;3;8;5;0;0;1;0;0;0;1;0;0;2;1;1;1;3;4;0;0;0;1;0;0;0;0;0;1;1;7;11;3;1;0;1;0;0;0;0;0;0;0;5;1;1;10;5;19;3;1;1;0;0;1;0;0;6;5;4;5;30;26;39;0;0;0;7;15;15;14;13;12;41;34;21;13;30;21;0;0;0
ASV_310;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0;11;4;4;0;0;0;0;0;0;1;0;2;0;1;0;7;0;6;0;0;0;0;0;0;1;0;3;2;1;1;16;18;20;1;0;0;0;0;0;2;0;2;1;1;2;34;17;13;0;0;0;0;1;2;93;20;40;41;22;27;7;12;11;0;0;0
ASV_311;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;35;4;1;0;0;4;1;3;0;0;1;15;2;0;27;4;45;0;0;1;2;1;1;3;13;2;11;3;1;2;5;7;13;10;13;0;0;0;39;59;19;0;8;2;2;6;10;10;2;2;2;2;0;2;20;7;1;4;3;3;9;4;0;0;0
ASV_312;1;0;1;1;0;1;1;1;0;0;0;1;5;2;2;0;0;0;0;0;2;11;5;9;0;1;0;24;11;13;2;2;0;1;0;4;43;45;24;1;1;13;27;1;7;0;1;0;38;25;17;0;1;1;2;2;2;3;0;0;7;10;20;1;0;0;0;0;0;8;10;10;1;1;2;3;9;14;0;0;0
ASV_313;1;0;0;1;2;17;25;69;7;1;0;1;1;0;0;0;0;1;3;6;15;4;6;12;0;0;0;0;0;0;0;1;1;1;1;0;4;6;2;0;0;0;0;1;0;1;2;1;1;4;0;8;181;19;0;0;1;0;3;1;3;1;0;5;1;2;1;0;1;0;0;0;9;6;0;2;4;4;0;0;0
ASV_314;2;2;3;1;0;0;0;0;0;1;0;2;0;0;0;11;40;23;0;0;2;0;3;0;1;2;1;3;3;2;7;7;1;1;0;2;0;6;1;5;2;52;13;10;4;31;41;42;3;0;3;0;2;0;6;11;2;10;16;17;0;3;1;0;0;2;1;2;0;9;0;2;1;1;0;11;2;17;0;0;0
ASV_315;0;2;0;0;0;0;0;2;0;0;0;6;1;2;1;0;4;0;0;0;0;0;1;0;0;0;4;3;1;0;1;6;6;0;0;0;0;0;0;2;0;1;11;3;3;12;36;1;0;1;0;0;1;0;5;1;74;10;2;1;4;44;0;0;1;0;49;6;0;2;2;4;30;25;21;27;6;23;0;0;0
ASV_316;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;149;25;4;0;0;0;0;0;0;0;57;0;44;0;0;6;6;0;1;2;0;0;0;1;90;0;34;0;0;0;0;0;0;0;14;0;0;0;0;0;2;5;0;0;0;0;0;0
ASV_317;0;0;2;0;0;0;0;0;0;1;0;2;3;1;1;1;4;3;0;0;1;3;2;0;1;0;1;3;0;3;2;1;0;0;0;2;1;1;1;0;0;4;23;10;1;1;4;1;10;6;9;0;2;1;4;5;0;23;22;22;23;20;17;6;4;6;0;5;0;30;37;11;28;12;13;6;18;21;0;0;0
ASV_318;0;0;1;0;0;0;0;0;0;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;5;1;1;0;0;0;0;0;0;0;0;1;0;4;0;3;10;1;3;5;1;4;8;2;1;1;0;1;8;0;16;12;8;9;4;7;2;0;0;0;24;13;8;72;39;33;30;15;20;16;15;34;0;0;0
ASV_319;2;24;11;0;1;3;5;5;2;0;1;1;8;0;3;7;1;3;0;2;9;24;14;50;0;4;1;22;10;6;6;1;0;1;0;1;8;12;6;3;3;1;3;4;1;1;4;4;0;1;0;5;13;39;2;5;4;0;0;2;8;13;4;1;0;0;3;2;0;5;34;0;0;8;3;2;8;3;0;0;0
ASV_320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;31;51;94;6;3;5;0;0;0;16;4;9;1;0;0;3;3;4;9;5;12;0;1;1;9;1;1;0;2;1;0;1;0;32;57;3;0;2;2;2;3;0;1;2;0;0;0;0;4;18;24;1;2;0;0;2;1;2;1;2;0;0;0
ASV_321;0;0;18;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;1;0;7;0;0;2;1;0;1;0;1;0;0;0;0;0;3;5;1;5;0;4;1;4;1;6;0;0;0;2;1;1;0;1;3;79;30;80;0;0;0;2;1;0;0;12;2;21;25;12;25;67;10;0;0;0
ASV_322;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;1;3;0;0;0;0;0;0;2;1;0;9;0;0;0;0;0;1;0;6;0;0;1;0;0;2;1;1;3;1;1;0;2;2;3;0;1;1;6;6;0;0;0;2;29;29;14;44;68;164;2;1;2;2;13;0;6;2;0;0;0;1;0;0;0
ASV_323;1;0;2;0;0;0;0;1;0;2;1;3;1;1;2;1;0;5;1;1;1;1;11;1;2;1;1;5;1;0;3;2;1;0;0;1;1;9;4;2;1;3;8;1;5;1;0;2;1;2;3;0;0;1;0;0;1;10;4;13;27;13;30;0;1;5;1;3;0;39;46;15;18;33;16;14;25;29;0;0;0
ASV_324;0;1;0;1;0;1;0;0;1;1;3;0;1;3;3;5;7;9;0;1;3;1;1;1;6;4;3;15;7;7;0;1;1;0;0;3;5;8;11;7;11;18;62;10;17;0;1;0;17;9;13;0;1;0;18;12;15;12;9;9;6;4;8;2;2;6;0;1;1;3;12;5;4;3;1;6;7;11;0;0;0
ASV_325;0;0;1;1;0;0;0;0;1;2;0;2;0;0;0;0;2;5;0;0;1;2;5;1;1;1;2;2;5;0;1;0;0;4;1;0;0;1;3;2;0;12;3;1;1;16;26;21;6;4;1;0;1;0;11;14;8;3;8;23;7;13;2;1;1;4;8;9;2;37;22;37;1;8;6;22;15;36;0;0;0
