;SUI_A001;SUI_A002;SUI_A003;SUI_A006;SUI_A007;SUI_A008;SUI_A011;SUI_A012;SUI_A013;SUI_A016;SUI_A017;SUI_A018;SUI_A021;SUI_A022;SUI_A023;SUI_A026;SUI_A027;SUI_A028;SUI_A031;SUI_A032;SUI_A033;SUI_A036;SUI_A037;SUI_A038;SUI_A041;SUI_A042;SUI_A043;SUI_A046;SUI_A047;SUI_A048;SUI_A051;SUI_A052;SUI_A053;SUI_A056;SUI_A057;SUI_A058;SUI_A061;SUI_A062;SUI_A063;SUI_A066;SUI_A067;SUI_A068;SUI_A071;SUI_A072;SUI_A073;SUI_A076;SUI_A077;SUI_A078;SUI_A081;SUI_A082;SUI_A083;SUI_A086;SUI_A087;SUI_A088;SUI_A091;SUI_A092;SUI_A093;SUI_A096;SUI_A097;SUI_A098;SUI_A106;SUI_A107;SUI_A108;SUI_A111;SUI_A112;SUI_A113;SUI_A116;SUI_A117;SUI_A118;SUI_A121;SUI_A122;SUI_A123;SUI_A131;SUI_A132;SUI_A133;SUI_A146;SUI_A147;SUI_A148;SUI_EB1;SUI_EB2;SUI_NC
ASV_708;2;2;0;1;0;1;0;0;0;2;1;4;7;7;2;22;43;12;0;2;5;0;3;0;0;2;0;2;1;0;10;0;3;0;1;0;0;0;1;0;1;8;0;0;0;4;0;2;0;2;1;0;0;0;2;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_709;2;1;2;1;0;1;1;0;0;0;0;1;0;0;0;3;6;3;0;0;2;3;1;3;0;0;0;3;1;0;8;1;7;0;0;1;0;1;1;0;1;1;2;1;0;3;5;9;1;0;1;0;0;0;5;4;1;0;3;1;3;1;7;6;5;7;0;0;0;0;7;0;2;4;4;1;13;10;0;0;0
ASV_710;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;2;0;3;1;0;0;18;27;43;3;0;0;0;0;0;1;0;2;0;1;2;5;4;15;1;0;3;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0
ASV_711;1;5;1;0;0;1;0;1;1;0;1;3;2;0;2;6;18;5;0;0;0;0;0;0;0;4;1;1;0;4;12;2;2;0;0;1;0;1;0;1;1;1;3;1;1;1;3;7;1;2;1;0;0;1;9;8;6;0;0;1;1;2;1;0;0;0;2;3;6;11;5;2;0;2;0;1;1;0;0;0;0
ASV_712;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;1;0;0;9;24;113;0;0;0;0;0;2;0;0;0;0;0;0
ASV_713;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;5;0;0;2;4;13;6;1;1;1;0;0;0;0;2;4;3;7;15;1;4;0;0;0;0;1;0;0;13;7;7;4;2;5;11;10;23;0;0;0
ASV_714;0;1;0;0;0;0;1;0;1;0;1;2;0;1;0;0;4;2;0;0;1;2;4;6;0;0;0;2;0;0;1;1;2;1;0;1;4;10;5;0;2;21;3;1;4;4;7;4;1;0;3;0;1;3;5;19;9;3;0;4;2;0;0;1;1;1;1;0;0;0;6;1;0;0;0;0;0;0;0;0;0
ASV_715;0;5;0;3;2;0;1;3;0;3;0;0;1;4;3;2;4;2;2;1;1;0;1;0;4;0;5;5;1;3;3;3;2;3;0;5;4;1;2;3;1;0;3;0;5;0;3;2;2;5;1;3;1;0;4;1;5;2;0;3;1;4;5;1;0;1;1;0;2;3;1;2;4;3;4;3;2;0;0;0;0
ASV_716;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;0;1;5;2;3;3;1;0;0;0;0;1;2;2;0;1;0;11;6;8;0;0;0;0;0;0;9;63;2;6;6;2;3;8;1;0;0;0
ASV_717;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;3;1;5;3;0;0;9;16;7;2;1;2;0;0;0;4;1;3;1;4;4;5;10;3;0;0;0;1;0;0;4;6;2;16;7;8;7;7;6;0;0;0
ASV_718;0;1;0;0;0;2;0;0;0;2;2;1;0;1;0;3;8;2;0;0;0;1;8;0;0;0;0;0;4;0;2;4;2;0;0;1;1;2;1;0;1;24;0;0;1;7;11;16;1;2;0;0;0;1;7;23;2;3;0;0;0;0;2;0;1;1;0;0;0;0;3;0;0;1;1;1;1;1;0;0;0
ASV_719;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;11;13;3;0;0;1;0;0;0;0;0;0;0;1;0;2;2;5;0;0;0;0;0;0;0;0;1;40;40;27;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
ASV_720;0;11;1;1;0;0;0;0;0;0;0;0;0;0;0;43;37;0;2;0;0;0;0;0;0;0;0;1;0;0;17;1;0;19;5;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;5;0;0;0;0;0;0;2;0;0;0;0
ASV_721;0;1;0;1;0;0;0;0;0;6;1;0;5;1;0;0;13;5;1;2;3;1;4;2;0;1;0;2;0;0;6;2;4;1;0;0;1;2;0;0;0;3;4;2;0;4;5;4;4;2;3;1;0;0;3;8;2;7;2;4;1;8;6;0;1;2;0;1;0;4;0;2;4;1;0;1;2;1;0;0;0
ASV_722;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;8;7;1;1;12;6;17;4;1;2;2;0;0;3;8;5;0;6;17;2;2;0;0;1;1;2;2;0;3;5;2;3;2;1;4;4;11;0;0;0
