;Kingdom;Phylum;Class;Order;Family;Genus
ASV_37;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown
ASV_38;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | unknown genus
ASV_39;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae | unknown genus
ASV_40;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown
ASV_41;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae | Aquimarina
ASV_42;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria | Thiotrichales;Bacteria | Proteobacteria | Gammaproteobacteria | Thiotrichales | Thiotrichaceae;Bacteria | Proteobacteria | Gammaproteobacteria | Thiotrichales | Thiotrichaceae | Leucothrix
ASV_43;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | Silicimonas
ASV_44;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown
ASV_45;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae | Rubidimonas
ASV_46;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae | unknown genus
ASV_47;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown
ASV_48;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae | unknown genus
ASV_49;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | unknown genus
ASV_50;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | unknown genus
ASV_51;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae | Tenacibaculum
ASV_52;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | Pseudoruegeria
ASV_53;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown
ASV_54;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae | unknown genus
